table,original_column,content,header,column_text,medium_label,long_label,translated_column,column_for_analysis
VBAP,ABDAT,合意累積納入数量の照合基準日,照合基準日,照合基準日,照合基準日,照合基準日,Loading...,none
VBAP,ABFOR,支払保証形態,支払,保証形態,支払保証形態,支払保証形態,Loading...,none
VBAP,ABGES,保証 (係数が 0 と 1 の間),G,保証,保証,保証,Loading...,none
VBAP,ABGRS,結果分析キー,RAキー,RAキー,結果分析キー,結果分析キー,Loading...,none
VBAP,ABGRU,販売伝票の拒否理由,拒,拒否理由,拒否理由,拒否理由,Loading...,none
VBAP,ABLFZ,丸め数量: 出荷,丸め数量,丸め数量,丸め数量,丸め数量,Loading...,none
VBAP,ABSFZ,数量に関する許容偏差 (絶対値),DQty,絶対偏差,絶対偏差,絶対偏差,Loading...,none
VBAP,ABSTA,拒否ステータス (明細),拒否ステータス,拒否Status,拒否ステータス,拒否ステータス,Loading...,none
VBAP,AD01PROFNR,動的明細プロセッサプロファイル,Profile,Profile,DIPプロファイル,DIP プロファイル,Loading...,none
VBAP,ADACN,航空機登録番号,航空機登録番号,航空機No.,航空機登録番号,航空機登録番号,Loading...,none
VBAP,ADDNS,代替不可,代替不可,DNS,代替不可,代替不可,Loading...,none
VBAP,ADICC,交換性コード,交換性コード,交換性Code,交換性コード,交換性コード,Loading...,none
VBAP,ADMOI,モデル ID コード,モデル ID コード,Mod.ID Cd.,モデル ID コード,モデル ID コード,Loading...,none
VBAP,ADPRI,指図優先度,指図優先度,優先度,指図優先度,指図優先度,Loading...,none
VBAP,AEDAT,最終変更日付,変更日,変更,変更日,変更日,Loading...,none
VBAP,ANTLF,明細の分割納入回数上限,PD,分納最大数,分納最大回数,分納最大回数,Loading...,none
VBAP,ANZSN,シリアル番号数,NoSNo.,SerialNo数,シリアル番号数,シリアル番号数,Loading...,none
VBAP,APLZL_OAA,内部カウンタ,カウンタ,カウンタ,カウンタ,カウンタ,Loading...,none
VBAP,APLZL_OLC,内部カウンタ,カウンタ,カウンタ,カウンタ,カウンタ,Loading...,none
VBAP,ARKTX,受注明細のテキスト (短),明細テキスト,テキスト,明細テキスト,明細テキスト,Loading...,none
VBAP,ARSNUM,入出庫予定/従属所要量の番号,入出庫予定番号,Reserv番号,入出庫予定,入出庫予定,Loading...,none
VBAP,ARSPOS,入出庫予定/従属所要量の明細番号,入出庫予定明細番号,明細番号,明細番号,入出庫予定明細番号,Loading...,none
VBAP,ARUN_GROUP_PRIO,配分実行需要グループ優先度,需要優先度,需要,需要優先度,需要優先度,Loading...,none
VBAP,ASSIGNMENT_PRIORITY,配分需要優先度,需要優先度,需要,需要優先度,需要優先度,Loading...,none
VBAP,ATPKZ,取替部品,R,取替,交換部品,取替部品,Loading...,none
VBAP,ATP_ABC_SUBSTITUTION_STATUS,代替基準確認 (ABC) の代替ステータス,代替ステータス,代替Status,代替ステータス,代替ステータス,Loading...,none
VBAP,AUART_ANA,販売伝票タイプ,販タ,販売伝票Ty,販売伝票タイプ,販売伝票タイプ,Loading...,none
VBAP,AUDAT_ANA,伝票日付 (受信日/送信日),伝票日付,伝票日付,伝票日付,伝票日付,Loading...,none
VBAP,AUFNR,指図番号,指図,指図,指図,指図,Loading...,none
VBAP,AUFPL_OAA,指図における作業の作業手順番号,作業の作業手順番号,計画番号,作業計画番号,作業タスクリスト番号,Loading...,none
VBAP,AUFPL_OLC,指図における作業の作業手順番号,作業の作業手順番号,計画番号,作業計画番号,作業タスクリスト番号,Loading...,none
VBAP,AUGRU_ANA,受注理由 (取引理由),理由,受注理由,受注理由,受注理由,Loading...,none
VBAP,AWAHR,明細の受注可能性,Prb,受注可能性,受注可能性,受注可能性,Loading...,none
VBAP,BEDAE,所要量タイプ,RqTy,タイプ,所要量タイプ,所要量タイプ,Loading...,none
VBAP,BERID,MRP エリア,MRP エリア,MRP エリア,MRP エリア,MRP エリア,Loading...,none
VBAP,BESTA,出荷確認ステータス (明細),CS,出荷確認St,出荷確認 Status,出荷確認ステータス,Loading...,none
VBAP,BONUS,取引量リベートグループ,VRG,リベートGp,取引量RebateGrp,取引量リベート Group,Loading...,none
VBAP,BRGEW,明細の総重量,総重量,総重量,総重量,総重量,Loading...,none
VBAP,BSTKD_ANA,得意先参照,得意先参照,得意先参照,得意先参照,得意先参照,Loading...,none
VBAP,BUDGET_PD,予算期間,予算期間,BP,予算期間,予算期間,Loading...,none
VBAP,BWTAR,評価タイプ,評価タイプ,評価タイプ,評価タイプ,評価タイプ,Loading...,none
VBAP,BWTEX,分割評価区分,V,分割評価,分割評価,分割評価,Loading...,none
VBAP,BZIRK_ANA,販売地域,地域,販売地域,販売地域,販売地域,Loading...,none
VBAP,CAPPED_NET_AMOUNT,正味額上限,正味額上限,正味額上限,正味額上限,正味額上限,Loading...,none
