table,original_column,content,header,column_text,medium_label,long_label,translated_column,column_for_analysis
VBAK,ABDIS,MRP: 出荷計画タイプ,,MRP,MRP: DS タイプ,MRP: 出荷計画タイプ,Mrp,mrp
VBAK,ABHOB,ピックアップ時刻,時間,Pick-Up Tm,Pick-Up 時刻,ピックアップ時刻,Pick-UP TM,pick-up_tm
VBAK,ABHOD,ピックアップ日付,Pick-Up 日,Pick-Up 日,ピックアップ日,ピックアップ日付,Pick-up day,pick-up_day
VBAK,ABHOV,ピックアップ時刻,時間,Pick-Up Tm,Pick-Up 時刻,ピックアップ時刻,Pick-UP TM,pick-up_tm
VBAK,ABRUF_PART,取引先権限チェック,取引先 Check,CheckPart.,取引先チェック,取引先権限チェック,Checkpart.,checkpart.
VBAK,ABRVW,用途区分,用途,用途,用途,用途,Use,use
VBAK,ABSTK,拒否ステータス (すべての明細),拒,拒否Status,拒否ステータス,拒否ステータス,Rejected Status,rejected_status
VBAK,AD01BASDOC,初期伝票,初期伝票,初期伝票,初期伝票,初期伝票,Initial slip,initial_slip
VBAK,AD01FAREG,請求ルール,R,A&D請求Rul,A&D 請求ルール,A&D 請求ルール,A & D claim Rul,a_&_d_claim_rul
VBAK,AEDAT,最終変更日付,変更日,変更,変更日,変更日,change,change
VBAK,AGRZR,見越期間 - 見越予定の受注関連請求伝票,AP,見越期間,見越期間,見越期間,Overtaking period,overtaking_period
VBAK,AMTBL,伝票の承認済み与信金額,承認済み与信金額,与信金額,与信金額,承認済み与信金額,Belief amount,belief_amount
VBAK,ANGDT,見積/引合有効開始日,有効開始,有効開始日,有効開始日,見積有効開始日,Effective start date,effective_start_date
VBAK,APM_APPROVAL_REASON,承認依頼理由 ID,承認依頼理由 ID,AppReqRsn,承認依頼理由 ID,承認依頼理由 ID,APPREQRSN,appreqrsn
VBAK,APM_APPROVAL_STATUS,伝票承認ステータス,承認ステータス,承認Status,承認ステータス,承認ステータス,Approval Status,approval_status
VBAK,APM_REJECTION_REASON,承認依頼の拒否理由の ID,承認依頼の拒否理由の ID,拒否理由,承認依頼拒否理由,承認依頼拒否理由 ID,Reason for rejection,reason_for_rejection
VBAK,AUART,販売伝票タイプ,販タ,販売伝票Ty,販売伝票タイプ,販売伝票タイプ,Sales slip TY,sales_slip_ty
VBAK,AUDAT,伝票日付 (受信日/送信日),伝票日付,伝票日付,伝票日付,伝票日付,Slip date,slip_date
VBAK,AUFNR,指図番号,指図,指図,指図,指図,Instruction,instruction
VBAK,AUGRU,受注理由 (取引理由),理由,受注理由,受注理由,受注理由,Reason for ordering,reason_for_ordering
VBAK,AUTLF,一括納入 (受注ごとに定義済),CDl,一括納入,一括納入,一括納入,Collective delivery,collective_delivery
VBAK,AWAHR,受注可能性,Prb,受注可能性,可能性,可能性,Possibility of ordering,possibility_of_ordering
VBAK,B2B_MSG_PROCESSING_STATUS,B2B メッセージ処理ステータス,B2B メッセージ処理ステータス,B2B Status,B2B 処理ステータス,B2B メッセージ処理ステータス,B2B Status,b2b_status
VBAK,BESTK,出荷確認ステータス (すべての明細),CS,出荷確認St,出荷確認 Status,出荷確認ステータス,Shipment confirmation ST,shipment_confirmation_st
VBAK,BNAME,発注者名称,得意先名称,名称,名称,名称,name,name
VBAK,BNDDT,見積の有効終了日,有効終了日,有効終了日,有効終了日,見積有効終了日,expiration date,expiration_date
VBAK,BSARK,得意先購買発注タイプ,発注,PO タイプ,購買発注タイプ,購買発注タイプ,PO type,po_type
VBAK,BSTDK,得意先参照日付,Cust参照日,Cust参照日,得意先参照日付,得意先参照日付,CUST reference date,cust_reference_date
VBAK,BSTNK,得意先参照,得意先参照,得意先参照,得意先参照,得意先参照,See customer,see_customer
VBAK,BSTZD,購買発注番号補足,補足,補足,補足,補足,supplement,supplement
VBAK,BUKRS_VF,請求対象の会社コード,会社,会社コード,請求会社コード,請求対象の C コード,Company code,company_code
VBAK,CMFRE,与信管理によって決定された伝票の承認日,承認日,承認日,承認日付,承認日付,Approval date,approval_date
VBAK,CMGST,与信限度確認の全体ステータス,OvCS,与信Status,与信全処理 Stat,与信ステータス,Shin STATUS,shin_status
VBAK,CMNGV,次回出荷予定日,次回出荷,次回出荷,次回出荷日,次回出荷日,Next shipment,next_shipment
VBAK,CMNUP,次の伝票与信限度確認日付,次の確認,次の確認,次の確認,次の与信限度確認,Next confirmation,next_confirmation
VBAK,CMPSC,最大伝票金額に対する与信限度確認のステータス,MAVO,金額,金額,最大金額,Amount of money,amount_of_money
VBAK,CMPSD,支払条件に対する与信確認のステータス,TPAY,支払条件,支払条件,支払条件,Payment terms,payment_terms
VBAK,CMPSI,ドキュメンタリクレジットの与信限度確認ステータス,DocC,Docu.Cred.,Documen. Credit,Documentary Credit,Docu.cred.,docu.cred.
VBAK,CMPSJ,輸出与信保険の与信限度確認ステータス,ECI,ExptCredIn,輸出与信保険,輸出与信保険,EXPTCREDIN,exptcredin
VBAK,CMPSK,支払カード承認の与信限度確認ステータス,PaCa,支払カード,支払カード,支払カードステータス,Payment card,payment_card
VBAK,CMPS_CM,与信限度確認のステータス SAP 与信管理,SAPCM,SAP CrMa,SAP 与信管理,SAP 与信管理,SAP CRMA,sap_crma
VBAK,CMPS_TE,SAP Credit Management 技術エラーステータス,CM TE,CrMa TE,CrMa TE Status,Credit Mgmt TE ステータス,CRMA TE,crma_te
VBAK,CMWAE,与信管理領域の通貨コード,通貨,通貨,通貨,通貨,currency,currency
VBAK,CONT_DG,区分: 伝票に危険物あり,DG,危険物あり,危険物あり,危険物あり,There is a dangerous item,there_is_a_dangerous_item
VBAK,COSTA,ALE の確認ステータス,CoSt,ConfStatus,確認ステータス,確認ステータス,Confustus,confustus
VBAK,CRM_GUID,文字入力項目長 70,文字 70,文字 70,文字 70,文字 70,Character 70,character_70
VBAK,CTLPC,与信管理: リスクカテゴリ,リスクカテゴリ,リスクcat.,リスクカテゴリ,リスクカテゴリ,Risk cat.,risk_cat.
VBAK,DAT_FZAU,累積出荷数量日付,累積数量日,累積数量日,累積数量日,累積数量日,Cumulative quantity,cumulative_quantity
VBAK,DCSTK,遅延ステータス (すべての明細),De,遅延Status,遅延ステータス,遅延ステータス,Delayed Status,delayed_status
